Time,TargetRows,ThreadCount,BatchSize,ElapsedMilliseconds
06/02/2018 22:50:16,100000,16,1000,2147
06/02/2018 22:50:20,100000,16,1000,3499
06/02/2018 22:50:22,100000,16,1000,1870
06/02/2018 22:50:24,100000,16,1000,2259
06/02/2018 22:50:28,100000,16,1000,4171
06/02/2018 22:50:33,100000,16,1000,3288
06/02/2018 22:50:35,100000,16,1000,1690
06/02/2018 22:50:37,100000,16,1000,1814
06/02/2018 22:50:42,100000,16,1000,5026
06/02/2018 22:50:47,100000,16,1000,3016
06/02/2018 22:50:50,100000,16,100,3310
06/02/2018 22:50:54,100000,16,100,3736
06/02/2018 22:50:56,100000,16,100,1844
06/02/2018 22:50:59,100000,16,100,3045
06/02/2018 22:51:02,100000,16,100,3721
06/02/2018 22:51:07,100000,16,100,4221
06/02/2018 22:51:12,100000,16,100,5384
06/02/2018 22:51:15,100000,16,100,2799
06/02/2018 22:51:20,100000,16,100,5640
06/02/2018 22:51:27,100000,16,100,4136
06/02/2018 22:51:29,100000,8,10000,1332
06/02/2018 22:51:30,100000,8,10000,1580
06/02/2018 22:51:31,100000,8,10000,869
06/02/2018 22:51:34,100000,8,10000,2742
06/02/2018 22:51:35,100000,8,10000,753
06/02/2018 22:51:38,100000,8,10000,2762
06/02/2018 22:51:45,100000,8,10000,6379
06/02/2018 22:51:48,100000,8,10000,2412
06/02/2018 22:51:49,100000,8,10000,1184
06/02/2018 22:51:50,100000,8,10000,778
06/02/2018 22:51:52,100000,8,1000,1937
06/02/2018 22:51:57,100000,8,1000,5762
06/02/2018 22:51:59,100000,8,1000,1077
06/02/2018 22:52:02,100000,8,1000,2573
06/02/2018 22:52:06,100000,8,1000,3783
06/02/2018 22:52:09,100000,8,1000,3804
06/02/2018 22:52:12,100000,8,1000,1492
06/02/2018 22:52:15,100000,8,1000,3299
06/02/2018 22:52:17,100000,8,1000,1601
06/02/2018 22:52:19,100000,8,1000,1867
06/02/2018 22:52:26,100000,8,100,6707
06/02/2018 22:52:28,100000,8,100,2399
06/02/2018 22:52:31,100000,8,100,2565
06/02/2018 22:52:35,100000,8,100,4346
06/02/2018 22:52:40,100000,8,100,5242
06/02/2018 22:52:45,100000,8,100,3521
06/02/2018 22:52:49,100000,8,100,4108
06/02/2018 22:52:52,100000,8,100,2719
06/02/2018 22:52:55,100000,8,100,3118
06/02/2018 22:53:01,100000,8,100,5442
06/02/2018 22:53:02,100000,4,10000,833
06/02/2018 22:53:03,100000,4,10000,1298
06/02/2018 22:53:04,100000,4,10000,1269
06/02/2018 22:53:06,100000,4,10000,1978
06/02/2018 22:53:07,100000,4,10000,963
06/02/2018 22:53:10,100000,4,10000,2554
06/02/2018 22:53:11,100000,4,10000,1191
06/02/2018 22:53:13,100000,4,10000,2033
06/02/2018 22:53:14,100000,4,10000,1244
06/02/2018 22:53:15,100000,4,10000,654
06/02/2018 22:53:17,100000,4,1000,1634
06/02/2018 22:53:24,100000,4,1000,7737
06/02/2018 22:53:26,100000,4,1000,1868
06/02/2018 22:53:29,100000,4,1000,2733
06/02/2018 22:53:32,100000,4,1000,3456
