Time,ActualRows,ThreadCount,BatchSize,ElapsedMilliseconds
06/02/2018 23:25:27,1000000,10,10000,7708
06/02/2018 23:25:34,1000000,10,10000,7025
06/02/2018 23:25:42,1000000,10,10000,7971
06/02/2018 23:25:51,1000000,10,10000,9281
06/02/2018 23:26:00,1000000,10,10000,8531
06/02/2018 23:26:07,990000,9,10000,7704
06/02/2018 23:26:15,990000,9,10000,8066
06/02/2018 23:26:23,990000,9,10000,7613
06/02/2018 23:26:31,990000,9,10000,8058
06/02/2018 23:26:40,990000,9,10000,8940
06/02/2018 23:26:50,960000,8,10000,7455
06/02/2018 23:26:57,960000,8,10000,6799
06/02/2018 23:27:05,960000,8,10000,8103
06/02/2018 23:27:13,960000,8,10000,8125
06/02/2018 23:27:27,960000,8,10000,13967
06/02/2018 23:27:36,980000,7,10000,8882
06/02/2018 23:27:45,980000,7,10000,9129
06/02/2018 23:27:53,980000,7,10000,7756
06/02/2018 23:28:01,980000,7,10000,8018
06/02/2018 23:28:09,980000,7,10000,8036
06/02/2018 23:28:18,960000,6,10000,8931
06/02/2018 23:28:25,960000,6,10000,6564
06/02/2018 23:28:32,960000,6,10000,7608
06/02/2018 23:28:41,960000,6,10000,8266
06/02/2018 23:28:48,960000,6,10000,7759
06/02/2018 23:28:57,1000000,5,10000,8649
06/02/2018 23:29:06,1000000,5,10000,9367
06/02/2018 23:29:13,1000000,5,10000,6859
06/02/2018 23:29:21,1000000,5,10000,7808
06/02/2018 23:29:35,1000000,5,10000,14075
06/02/2018 23:29:43,1000000,4,10000,7531
06/02/2018 23:29:51,1000000,4,10000,8219
06/02/2018 23:29:58,1000000,4,10000,7103
06/02/2018 23:30:09,1000000,4,10000,10640
06/02/2018 23:30:15,1000000,4,10000,6547
06/02/2018 23:30:23,990000,3,10000,7775
06/02/2018 23:30:32,990000,3,10000,9034
06/02/2018 23:30:40,990000,3,10000,7884
06/02/2018 23:30:48,990000,3,10000,7899
06/02/2018 23:30:55,990000,3,10000,7739
06/02/2018 23:31:06,1000000,2,10000,10562
06/02/2018 23:31:17,1000000,2,10000,10862
06/02/2018 23:31:25,1000000,2,10000,8552
06/02/2018 23:31:35,1000000,2,10000,10008
06/02/2018 23:31:45,1000000,2,10000,9749
06/02/2018 23:31:58,1000000,1,10000,12944
06/02/2018 23:32:11,1000000,1,10000,13150
06/02/2018 23:32:25,1000000,1,10000,14190
06/02/2018 23:32:39,1000000,1,10000,13637
06/02/2018 23:32:52,1000000,1,10000,12664
